reviewId,userName,content,clean_text,score,rating_sentiment,sentiment,at,appVersion,source_app_id,source_app_name
6c7567b0-a2b7-4524-82d3-66a7f714c74e,PRAY Priatna,"ini kenapa sihh,,masa mau top up pulsa semuanya stok habisss,,,ko dana bisa gitu ya...jelekkk",ini kenapa sihh masa mau top up pulsa semuanya stok habisss ko dana bisa gitu ya jelekkk,3,netral,positif,2026-05-29 21:01:13,2.127.0,id.dana,DANA Dompet Digital Indonesia
d0f90bc3-b26c-4742-8458-ec8d9f35817a,APNER “ALPNER” 06,bagus,bagus,5,positif,positif,2026-05-29 21:01:11,2.127.0,id.dana,DANA Dompet Digital Indonesia
ccef7915-daf7-440f-a6ca-8733f128e574,Safinatun Najat,"luar biasa, semoga dana tetap aman yaaa🫶",luar biasa semoga dana tetap aman yaaa,5,positif,positif,2026-05-29 21:00:18,2.125.3,id.dana,DANA Dompet Digital Indonesia
6aa1c700-e56a-41d5-a8ba-4e6000a28a48,Andri Junaedi,mntappp,mntappp,5,positif,netral,2026-05-29 21:00:06,2.126.0,id.dana,DANA Dompet Digital Indonesia
c80b190b-f42b-4c7c-b2c2-dfe1e1fedb7f,Wawanlabangka,sangat mambantu dalam sehari sehari untuk belanja,sangat mambantu dalam sehari sehari untuk belanja,5,positif,netral,2026-05-29 21:00:03,2.127.0,id.dana,DANA Dompet Digital Indonesia
a8c99b9c-1339-4943-8b4f-b52e846982ea,Nayya Putri,"saya mau hapus akun tapi dipersulit , uang saya diretas 1.3 juta dn pihak dana tidak bertanggung jwb tdk memberi solusi skrng saya mau hapus akun dipersulit",saya mau hapus akun tapi dipersulit uang saya diretas 1 3 juta dn pihak dana tidak bertanggung jwb tdk memberi solusi skrng saya mau hapus akun dipersulit,1,negatif,netral,2026-05-29 20:59:56,,id.dana,DANA Dompet Digital Indonesia
3248f5a6-1bb5-4ce3-bb4c-da91f00046b4,Mahdi Vikia,ada nya fitur pilih pilih,ada nya fitur pilih pilih,3,netral,netral,2026-05-29 20:58:49,2.127.0,id.dana,DANA Dompet Digital Indonesia
ef40aed8-33d1-431d-abc3-1db3f2348a00,Sena Karindra,kirimnya cepet nggak pakek loading🔥,kirimnya cepet nggak pakek loading,5,positif,netral,2026-05-29 20:57:18,2.127.0,id.dana,DANA Dompet Digital Indonesia
25a6dede-eecb-45c0-9e56-5e87ad306004,Sapriadi Adhy,tolong aktifkan dana cicil,tolong aktifkan dana cicil,5,positif,netral,2026-05-29 20:56:52,2.127.0,id.dana,DANA Dompet Digital Indonesia
88cfe27e-7ab6-410b-9779-48b1ad943795,Roh Madi,sangat membantu untuk kirim uang ke ke bank,sangat membantu untuk kirim uang ke ke bank,5,positif,positif,2026-05-29 20:55:51,2.127.0,id.dana,DANA Dompet Digital Indonesia
